22-04-2024
PairA          ,Pts,Pair B       ,Pts
Bhavin/Kishan  ,21 ,Chan/Raj     ,13
CM/Jayesh      ,21 ,Nalin/Nik    ,19
Bhavin/Nik S   ,21 ,Kishan/Rajesh,15
Nalin/Cm       ,14 ,Chan/Nik S   ,21
Raj/Nik S      ,12 ,Bhavin/Jayesh,21
CM/Nik         ,21 ,Nalin/Kishan ,11
Nikhil/Nikhil S,21 ,Kishan/CM    ,8
Chan/Jayesh    ,12 ,Rajesh/Bhavin,21
Chan/Nalin     ,11 ,Jayesh/Raj   ,21
Jayesh/Kishan  ,21 ,Nalin/Raj    ,12
CM/Nik S       ,12 ,Bhavin/Nik   ,21
Bhavin/Nik S   ,21 ,CM/Nik       ,11
